,Id,SalePrice
0,2658,129466.99229782811
1,2718,158044.67149730638
2,2414,236536.0231877084
3,1989,110522.52268057024
4,625,172419.86437153854
5,333,81641.64895774171
6,1327,110970.34111184764
7,858,171582.36206591682
8,95,177627.4769515476
9,1568,161787.77569188442
10,2482,156750.93552215825
11,1364,118219.85721434906
12,2584,150427.145126711
13,818,244235.65851319995
14,2673,173021.36828716975
15,2089,107797.56216407883
16,1297,130964.53130630632
17,790,123751.40763233931
18,2616,177178.68657414443
19,720,182134.16525783757
20,222,141669.93466689723
21,557,108747.54566666756
22,1148,185320.5093857151
23,2766,165425.67947944853
24,534,186324.24842443893
25,1452,133686.09744985547
26,630,105816.34716710246
27,2648,123328.79805771637
28,125,144906.98627733783
29,1904,42715.35215398186
30,1670,106383.85711181295
31,756,100324.02429351906
32,717,222333.75788452168
33,1032,164507.79153710185
34,852,210435.42317271375
35,1731,193736.22542612872
36,2639,117698.76735567793
37,2071,71507.78516279164
38,1267,123114.9923748169
39,1851,186125.11513933554
40,567,180759.9953827011
41,2439,203646.2664943318
42,1898,148065.6723319204
43,647,186574.30100371118
44,2256,214695.99924927304
45,979,89594.88595303289
46,1444,215270.31278193498
47,2485,117482.80441421393
48,157,123174.69254673104
49,88,115754.67284940311
50,2003,119599.18336609735
51,186,206159.02953254923
52,1425,230974.73146202514
53,2695,131081.9354511588
54,738,105768.5162022811
55,395,152351.03152928475
56,1353,176735.23260709975
57,1878,144476.59940525494
58,390,156183.51696806875
59,1456,223585.83009765943
60,1103,330810.16831436846
61,1387,118609.0565057815
62,2070,130050.402642854
63,1199,181925.46607625487
64,2479,181699.464905087
65,501,306737.90820471506
66,2362,95168.13129348052
67,1718,232759.7138484657
68,2188,74569.14180306198
69,1483,155887.36564213943
70,2557,73813.97663680409
71,437,358667.7534578657
72,2224,202996.31173582934
73,1628,163585.02104305793
74,397,133187.36192111133
75,587,200263.95696175093
76,2182,631050.5890154378
77,971,143057.59779065137
78,2611,148752.5799480271
79,1887,92399.33044635346
80,2399,367339.69591385603
81,2148,186425.42330286765
82,304,140947.2232275895
83,1997,127114.79018202775
84,2817,95347.46030771731
85,1431,199052.23476005072
86,427,336073.23701780103
87,263,126377.94053287302
88,598,189369.31678980816
89,2895,242130.32972235515
90,687,140321.3124379505
91,1822,137456.9421156367
92,2191,96568.65938997157
93,179,123384.33951196028
94,1009,237772.21930595435
95,2010,131995.2915102636
96,1991,140037.6697481435
97,1411,224321.54570418183
98,1721,235263.47787989266
99,1144,193499.63718011038
100,593,218694.68309917636
101,575,310005.1361245698
102,1249,169108.83132361225
103,1604,116971.21564330888
104,1064,482849.3258214
105,1923,146823.37059490185
106,1988,118254.88959308241
107,2325,162615.61640866252
108,114,209186.73197563278
109,2700,181351.16556346297
110,217,134275.1011494609
111,343,175808.74719045125
112,386,206225.7366352857
113,2005,102140.15233168792
114,2908,144174.6412937094
115,1814,250107.21381119592
116,2446,502176.3794868145
117,208,125104.87121307696
118,1679,97845.98948612006
119,822,310782.7742014112
120,6,174101.12068314065
121,1781,386600.7923434123
122,2397,325894.1620700493
123,2340,322045.055918447
124,1618,175907.50646785024
125,2843,146154.76218712478
126,1061,353008.9616758764
127,2786,126425.21268326181
128,1935,138139.47150404565
129,1341,106319.77471507817
130,521,236055.57009892378
131,2136,127222.94153665054
132,996,197320.20894437502
133,227,127865.11417221298
134,135,178735.7149686433
135,1167,157347.17175621528
136,294,229905.62671971205
137,1776,209144.76773554517
138,540,169053.63280833286
139,1717,252386.88662553107
140,2303,133568.62804354838
141,116,187175.10195167296
142,127,136024.98060226216
143,1371,131254.20041606075
144,1014,162100.43964414299
145,1507,95285.9056242101
146,702,148311.2747010435
147,750,145843.41341867216
148,261,154342.41928020856
149,1559,51951.7836531269
150,577,242267.26376970994
151,2812,199634.97123718794
152,2080,169899.7985175251
153,1368,98724.76910567282
154,2376,114561.21182430156
155,659,116170.93838351435
156,1235,138130.47570831014
157,332,64603.07756031715
158,1917,147793.93920747307
159,2094,232537.04695887875
160,1460,260818.6262340947
161,1471,215042.20488001787
162,1509,123952.53139736297
163,1922,126054.29719019993
164,433,505904.6211444616
165,460,267955.18447406613
166,1116,218970.93733964307
167,1137,168398.7880273916
168,53,156167.9906283885
169,2354,272720.6542102643
170,1475,200707.75676827529
171,1761,516201.5124215886
172,842,138914.9697239052
173,2739,165939.3887968677
174,2509,149838.02486782044
175,1007,204350.48317453614
176,2610,192731.96688137876
177,1952,85631.54019716315
178,2719,154156.13050274877
179,2921,79301.72869970654
180,1966,157354.47292542737
181,292,107471.18386540022
182,1204,179479.7494445484
183,1829,251113.4567819548
184,2419,204931.78349656306
185,391,148178.6299403998
186,798,129808.5181720031
187,481,195351.21546545773
188,193,213434.70098655776
189,555,114492.40601529079
190,899,54912.245213029964
191,2357,181971.46440871138
192,328,139188.4685685561
193,1356,107422.88343524265
194,1154,112979.99491115157
195,1730,189511.76836964133
196,2249,154770.1108408771
197,1119,283855.76645871316
198,2856,150898.06084552838
199,1394,131003.82218249736
200,2587,108604.63426235272
201,61,313917.6553377324
202,2661,163820.83766196106
203,2711,136214.2926152242
204,1147,179918.7182982517
205,757,116258.71308894164
206,2623,103633.19013477735
207,2378,122753.98346338051
208,1413,163420.5229517133
209,1722,226332.39091336218
210,1112,208651.9862640162
211,1623,186819.71080238445
212,1201,198253.92234658627
213,1513,120624.1905077677
214,957,516243.39460640674
